source_id,parallax,parallax_error,phot_g_mean_mag
197626529216155520,1.0317,0.1041,17.725
197629557168407168,0.2031,0.0927,17.097
197637769145792768,0.6667,0.0362,15.352
197645942466310016,0.7696,0.2371,18.988
197648867339657216,1.1846,0.79,20.136
197654880294568960,-0.7083,1.5866,20.766
197677179764420608,0.8406,0.8103,20.366
197682711683216000,0.3105,0.1595,18.273
197697207197324544,0.8468,0.1613,18.337
197699651033303168,0.7347,0.5366,20.068
197713150115300864,1.5184,0.4528,19.952
197719339164243968,0.358,0.0874,17.475
197721327732678784,0.4116,0.2329,19.174
197730162481699840,0.5679,0.0632,16.686
197731120258374144,-0.1226,0.358,19.58
197752285856894592,0.0785,0.096,17.316
197773176577868288,0.7096,0.3221,19.447
197781495930015488,0.8554,0.2284,18.194
197802691593784320,0.2249,0.2051,18.821
197807162656187776,1.4178,1.0525,20.496
197824475668525952,0.4258,0.4097,19.576
197838357004610816,0.7465,1.4381,20.82
197845675626551936,0.6197,0.6979,20.186
197911444460534656,1.146,0.5074,20.241
197913884003292416,0.742,0.1882,18.686
197925360154256000,0.5975,0.1052,17.375
197946628833755904,1.1013,0.3831,19.639
197953122824282880,0.2612,0.0563,16.337
197953122824674048,0.5056,0.0455,15.842
197961330513261056,0.2032,0.2899,19.425
197987169028680064,0.1163,0.1452,17.998
197989024455461760,0.4962,0.2437,18.897
197998443318902272,0.2244,0.1041,17.482
198019776421660928,0.7351,0.1295,17.883
198062902188530304,0.9978,0.0205,14.375
198077913097915136,0.0525,0.2012,18.684
198095780161449344,0.1884,0.1267,18.055
198110249907831680,0.2369,0.0431,15.969
198112685153059072,0.7784,0.2376,18.984
198115541307493888,0.4292,0.0774,16.958
198121176304081664,0.3692,1.9077,20.728
198144266047165440,1.5429,0.9908,20.722
198145395624297984,0.239,0.3389,19.5
198148045619913856,1.3957,0.021,12.914
198153573243239680,0.2691,0.1356,18.141
202586567902265472,0.2005,0.1875,18.428
202624324959364864,0.9697,0.4524,19.395
202626180391181312,0.3297,0.4134,19.635
202637901352858240,1.084,0.732,20.183
202646628726523520,2.2071,1.508,20.75
202649510647676672,0.2297,0.1096,17.677
202649789822365952,1.417,0.8233,20.469
202652843546606336,0.3661,1.0644,20.532
204339803619747456,0.6601,0.5052,19.809
204579084836862080,0.2061,0.1745,18.162
204603140946324992,0.7962,0.4122,19.692
204605889725157632,0.6077,0.5003,19.939
204606469548772992,0.1744,0.218,18.776
204606538269339008,0.4297,0.3715,19.512
204621897071801216,0.0204,0.204,18.684
204709480044863616,0.6943,0.3557,19.39
204721063569012864,0.2739,0.8452,20.216
204731264116926592,0.5468,0.3042,19.247
204755556452156032,0.3092,0.1208,17.849
204764799220449152,0.5459,0.4284,19.624
204769128547600000,2.0383,0.3656,16.812
204772156498788736,0.2721,0.4967,19.772
204778474399516672,1.0939,0.4582,19.373
204783593999757312,0.3349,0.1057,17.636
204807508374842752,0.4057,0.2505,18.926
204811700264860032,0.3935,0.2146,18.823
204812250018611072,0.6924,0.4554,19.684
204815862086742656,-0.7094,0.5626,19.899
204823451295607808,1.0412,0.3972,19.259
204824898699615488,-1.1505,1.0681,20.545
204832041228476544,0.6393,0.1062,17.647
204837607507958528,1.0397,0.4008,19.489
204865645055683584,1.0074,0.66,20.041
204885058305537152,0.3759,0.2901,18.954
204896465738608128,0.7506,0.3223,19.124
204905983386738304,0.3892,0.1167,17.778
204908354208758016,0.3889,0.0918,17.391
204910415793098240,0.5476,0.3881,19.535
205190486313426560,0.8653,0.5154,19.974
205366339455863040,0.29,0.068,16.758
205379258717360384,0.0078,0.4895,19.731
205389188682913920,1.8655,0.9675,20.595
205390009021104512,0.6901,0.3364,19.324
205395850177203328,0.3435,0.127,18.146
205396021975906048,1.0472,0.091,17.552
205408052181486592,0.2383,0.1506,18.207
205408601937258624,0.0927,0.1754,18.591
205411591234510080,0.3403,0.066,16.803
205425850523148800,-0.5591,1.4329,20.554
205439972376376960,0.066,1.2958,20.669
205456357677784192,0.2512,0.1245,17.999
205468525318914560,-0.8257,0.812,20.405
205475053670540544,0.6906,0.0335,15.419
205544799640527872,0.1767,0.2619,19.034
205575590264339200,0.3986,0.086,16.914
205593830987263232,0.1449,0.1842,18.673
205605444581684736,0.0959,0.4045,19.71
205611599267163008,0.3713,0.4794,20.027
205619463352872064,0.1211,0.1687,18.472
205634272400446720,0.5585,0.1583,18.309
205638640385493248,0.0138,0.1101,17.815
205639533738718464,5.8815,0.0666,16.97
205639941756215680,0.291,0.1501,18.356
205647054223394560,0.4116,0.177,18.409
205648153735112064,0.3474,0.0922,17.372
205683063230418176,0.2497,0.3266,19.396
205685129111104640,0.2509,0.1258,17.972
205690759809473408,0.1603,0.1156,17.82
205696708339730688,0.6323,0.2686,19.069
205706908886626048,0.1309,0.0884,17.345
205724432354996864,0.7081,0.3481,19.448
205731785339787008,-0.2062,0.2001,18.822
205733541982437248,0.4715,0.0633,16.839
205735427472086144,0.3485,0.198,18.849
205738902097657088,0.3163,0.436,19.828
205744257925718656,0.2243,0.0654,16.866
205748694623260800,0.1593,0.3633,19.607
205748759050794880,-0.2087,0.5936,20.273
205756180757085952,-0.0245,0.2899,19.214
205757696878380928,0.6684,0.0905,16.331
205765565255743872,0.6849,0.365,19.464
205771956167999744,1.1224,0.8085,20.458
205773910378789248,-0.576,0.4417,19.54
205776216775843968,0.2497,1.3702,20.643
205781851774303744,0.2833,0.0966,17.546
205782122355836544,0.1691,0.2505,19.084
205794938535955072,0.3849,0.2457,18.838
205810164196593920,0.1489,0.9555,20.532
205820265959687936,0.0345,0.4524,20.025
205830642602391808,0.2739,0.058,16.603
205832768608087552,0.6535,0.2186,18.931
